modelo,accuracy,precision_macro,recall_macro,f1_macro
Random Forest,0.9070063694267516,0.9095002195104582,0.9077701518510547,0.9074219926325736
Árbol de decisión,0.6624203821656051,0.6613415775918756,0.6591057800241265,0.6511559804956922
KNN,0.6331210191082802,0.6310360964658265,0.6410823876796647,0.6272504100327747
Regresión logística,0.3681528662420382,0.37606696235468995,0.36184081128906903,0.3577448988886631
