f1_media_abs,f1_desviacion,f1_rango,f2_media_abs,f2_desviacion,f2_rango,f3_media_abs,f3_desviacion,f3_rango,f4_media_abs,f4_desviacion,f4_rango,f5_media_abs,f5_desviacion,f5_rango,pitch3_media_abs,pitch3_desviacion,pitch3_rango,movimiento
24.252187241735545,29.258395054845955,90.20000000000002,7.414074380165289,8.325958234753493,24.099999999999998,6.199927685950411,6.929645798753184,21.300000000000004,4.293923553719008,5.008980550673438,20.5,2.829316632231405,3.4283216666317493,15.600000000000005,73.67474600379612,77.23393990114756,212.9747149858735,0
25.31061983471075,29.820328775257714,89.10000000000001,7.188512396694215,8.066133286671322,23.999999999999996,6.031185433884296,6.732225046786425,20.900000000000006,4.042987603305785,4.751322776887009,20.8,2.320831095041322,2.9188401179745216,15.699999999999998,74.73661282288292,78.28205164190595,209.18689100226362,0
21.218387913223143,26.36453321138133,91.00000000000001,6.692259814049586,7.63727894186451,22.4,5.7095067148760315,6.457565934590739,21.400000000000006,3.659914772727272,4.443101102208022,21.5,1.9139488636363637,2.476476258535686,16.400000000000006,73.43981703946086,76.94703484429239,201.03427453534715,0
1.3161562499999986,1.739776954302803,17.6,9.367491219008265,10.371095545682014,32.40000000000002,7.496034090909091,8.210418443826555,25.30000000000001,8.100720041322315,9.354948914984135,42.5,3.2407102272727273,4.241518358200816,27.400000000000006,82.40377899837726,87.52722334970707,273.6715719708522,0
1.1790005165289232,1.6467501020981683,18.5,8.858058109504132,9.981346180650979,32.40000000000002,7.26142458677686,8.022284806237977,24.800000000000008,7.795012396694214,9.128413295156507,41.0,3.152138429752066,4.174042053707138,25.800000000000004,82.08661218239587,87.14170349590701,273.6715719708522,0
1.0755836776859475,1.5427018223579723,17.5,8.903589876033056,9.848298587690874,32.40000000000002,7.343076446280992,8.000543834821014,26.50000000000001,7.909950929752067,9.13139557090339,45.400000000000006,2.846630940082644,4.081655188522895,29.100000000000005,82.52129982632724,87.75235393651626,279.1473296189175,0
1.4786164772727244,1.8884991984705641,16.4,7.406257747933884,7.938509757956427,24.89999999999999,6.96199922520661,7.356088267178744,22.700000000000003,5.593134555785123,6.278788284517763,26.999999999999993,1.3629059917355366,1.7766845072568305,16.100000000000005,62.98819828658735,66.8478647935156,187.22140801033333,0
1.3010271177685933,1.6901352968912038,15.800000000000004,7.168604080578511,7.700119148717254,24.89999999999999,6.787356663223138,7.185719897242879,22.000000000000007,5.223792871900826,5.895444693164823,22.200000000000006,1.2840754132231398,1.6838982069850905,15.000000000000004,62.72020262867779,66.6601441244569,185.88240564311258,0
1.2464462809917352,1.659137219154422,16.200000000000003,6.716668388429752,7.208174523322646,22.70000000000001,6.565184659090908,6.979510241430072,22.500000000000007,4.86186776859504,5.612475440088729,23.700000000000006,1.579579028925619,2.42900362824617,26.0,64.14812816408254,68.2399413809367,187.90093595535845,0
0.1296242252066142,0.7213130728541165,12.7,8.818139721074381,9.624854645650329,38.099999999999994,4.6306252582644625,5.172485663743519,27.700000000000006,7.184994834710743,7.93101470842594,38.100000000000016,2.777852789256199,3.461573799430681,18.200000000000003,101.3076561566697,107.11442168222503,340.1598863490135,0
