configuracion,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,f1_entrenamiento,f1_validacion,desviacion_validacion,f1_fold_1,f1_fold_2,f1_fold_3
Base,100,,2,1,sqrt,,1.0,0.8530219972161405,0.005515704908980099,0.860343250218115,0.8516924524008158,0.8470302890294908
Más árboles,200,,2,1,sqrt,,1.0,0.8581655598614418,0.004773900416125332,0.8637654051376036,0.8586315961081159,0.8520996783386061
Profundidad limitada,200,20,4,1,sqrt,,0.9998068712451976,0.8505178720829053,0.004290622946203752,0.8545980721760018,0.8523672634298373,0.8445882806428768
Hojas mayores,200,20,4,2,sqrt,,0.9963326029829558,0.828542465056116,0.006038891782801543,0.8356420707811425,0.8291035039393353,0.8208818204478698
Más características,200,30,4,1,0.5,,0.9994609967285287,0.8409875218224099,0.009470991656568452,0.848471477915307,0.8468654359446852,0.8276256516072374
Muestreo y hojas mayores,200,20,4,2,0.5,0.8,0.9919610587404719,0.8136784888726063,0.008218443573410806,0.8183377867550714,0.8205701429621741,0.8021275369005734
