modelo,accuracy,precision_macro,recall_macro,f1_macro
RF original,0.9070063694267516,0.9095002195104582,0.9077701518510547,0.9074219926325736
RF seleccionado por CV,0.9082802547770701,0.9092211101616475,0.9078192527834812,0.9073192104995083
